Rasa,ogon krótki,ogon puszysty,uszy krótkie,uszy szpiczaste,oczy ciemne,cętki/ plamy,paski,mały wzrost ,średni wzrost,duży wzrost,sierść bdz krótka,sierść krótka,sierść długa,Rodzaj
akita inu,1,1,0,0,1,0,0,0,0,1,0,1,0,0
alaskan malamute,0,1,1,0,1,0,0,0,0,1,0,0,1,0
yorkshire terrier,1,0,0,1,1,0,0,1,0,0,0,0,1,0
amerykański bobtail,1,1,1,1,0,0,0,0,1,0,0,1,0,1
amerykański curl,0,1,1,0,0,0,0,0,1,0,0,1,0,1
amerykański krótkowłosy,0,0,0,0,0,0,1,0,1,0,0,1,0,1
amerykański curl,0,1,1,0,0,0,0,0,1,0,0,0,1,1
alpejski gończy krtno,0,0,0,0,1,0,0,0,1,0,0,1,0,0
amstaf,1,0,0,1,1,0,0,0,1,0,0,1,0,0
angora turecka,0,1,0,0,0,0,0,0,1,0,0,0,1,1
brytyjski długowł,0,1,1,0,0,0,0,0,1,0,0,0,1,1
brytyjski krótkowł,0,0,1,1,0,0,0,0,1,0,0,1,0,1
kangal,1,0,0,1,1,0,0,0,0,0,0,1,0,0
appenzeller,1,0,0,1,1,0,0,0,1,0,0,1,0,0
australian cattle dog,0,0,0,1,1,1,0,0,1,0,0,1,0,0
australian silky terrier,1,0,1,1,1,0,0,1,0,0,0,0,1,0
basset bretoński,1,0,0,0,1,0,0,1,0,1,0,1,0,0
basset hound,0,0,0,0,1,1,0,1,0,0,0,1,0,0
beagle,0,0,0,0,1,1,0,0,1,0,1,0,0,0
burmilla,0,0,1,0,0,0,0,1,0,0,0,1,0,1
cornish rex,0,0,0,0,0,0,0,1,0,0,1,0,0,1
beagle harrier,0,0,0,0,1,1,0,0,1,0,0,1,0,0
bearded collie,0,1,1,0,1,0,0,0,1,0,0,0,1,0
bedlington terrier,1,0,1,0,1,0,0,0,1,0,0,1,0,0
bernardyn,0,1,0,1,1,1,0,0,0,1,0,1,0,0
bernardyn,0,1,0,1,1,1,0,0,0,1,0,0,1,0
bernenski pies pasterski,0,1,0,0,1,0,0,0,0,1,0,0,1,0
owczarek szwajcarski,0,1,0,1,1,0,0,0,0,1,0,0,1,0
bichon frise,1,1,1,0,1,0,0,1,0,0,0,0,1,0
billy,0,0,0,0,1,0,0,0,0,1,1,0,0,0
cymric,1,1,1,0,0,1,0,0,1,0,0,0,1,1
devon rex,0,0,0,1,0,0,0,0,1,0,0,1,0,1
donski sfinks,0,0,0,0,0,0,0,1,0,0,0,0,0,1
black and tan ,0,0,0,0,1,0,0,0,0,1,0,1,0,0
bloodhound,0,0,0,0,1,0,0,0,0,1,0,1,0,0
boer boel,1,0,0,1,1,0,0,0,0,1,0,1,0,0
bokser,0,0,0,1,1,0,0,0,1,0,1,0,0,0
bolończyk,1,1,1,0,1,0,0,1,0,0,0,0,1,0
border collie,0,1,0,1,1,0,0,0,1,0,0,1,0,0
border collie,0,1,0,1,0,0,0,0,1,0,0,0,1,0
border terrier,1,0,1,1,1,0,0,1,0,0,0,0,1,0
boston terrier,1,0,0,1,1,0,0,1,0,0,0,1,0,0
bouvier des flandres,1,1,0,1,1,0,0,0,0,1,0,0,1,0
braque dauvergne,0,0,0,0,1,1,0,0,1,0,0,1,0,0
braque du bourbonnais,0,0,0,0,1,1,0,0,1,0,0,1,0,0
braque saint germain,0,0,0,0,1,1,0,0,1,0,0,1,0,0
europejski krotkowło,1,0,1,0,0,0,1,0,1,0,0,1,0,1
highland straight i fold,0,1,1,1,0,0,0,0,1,0,0,0,1,1
japoński bobtail,1,0,1,1,0,1,0,0,1,0,0,1,0,1
japoński bobtail,1,0,1,1,0,1,0,0,1,0,0,0,1,1
broholmer,0,0,0,1,1,0,0,0,0,1,0,1,0,0
buhund norweski,1,1,1,1,1,0,0,0,1,0,0,1,0,0
buldog amerykański,0,0,0,0,1,1,0,0,0,1,0,1,0,0
buldog angielski,1,0,1,0,1,0,0,0,1,0,0,1,0,0
buldog francuski,1,0,0,0,1,1,0,1,0,0,1,0,0,0
